latitude,longitude,era5_t2m_2015_C,era5_t2m_2016_C,era5_t2m_2017_C,era5_t2m_2018_C,era5_t2m_2019_C,era5_t2m_2020_C,era5_t2m_2021_C,era5_t2m_2022_C,era5_t2m_2023_C,era5_t2m_2024_C
-29.0403,127,21.0047,19.6469,20.0557,20.3348,21.8455,20.6956,19.6240,19.7525,20.6344,20.8784
-29.0403,129,20.3338,19.0936,19.3273,19.9082,20.9180,19.8253,18.8305,18.7180,19.5375,20.1797
-29.0403,131,20.7385,19.5437,19.7147,20.3192,21.0137,19.9091,19.3136,19.0680,20.1639,20.7662
-29.0403,133,21.5745,20.5414,20.9889,21.4172,22.0136,20.8414,20.2751,19.9484,21.3112,21.9541
-29.0403,135,21.5349,21.0357,21.4355,21.6311,22.0668,20.8779,20.4907,20.1991,21.5826,22.2861
-29.0403,137,21.8346,21.5827,21.9305,22.2047,22.5020,21.3334,21.1087,20.9349,22.2158,22.7265
-29.0403,139,22.1636,22.1501,22.7028,22.7041,23.0696,21.7039,21.4177,21.1611,22.7094,22.9703
-29.0403,141,22.1213,22.1212,22.8929,22.8134,23.1561,21.8586,21.5435,21.2141,22.7811,22.6573
-29.0403,143,22.0828,21.9647,22.6454,22.7144,22.8584,21.7663,21.2417,21.0973,22.5922,22.6459
-29.0403,145,22.0158,21.9149,22.5919,22.7836,22.7169,21.6666,20.9084,20.6197,22.4339,22.3389
-29.0403,147,21.2237,20.9210,21.6564,21.7647,21.8970,21.1610,19.9210,19.5731,21.5656,21.4045
-29.0403,149,20.3788,20.3180,20.7269,20.8437,21.4463,20.3186,19.0459,18.6840,20.3865,20.6438
-29.0403,151,17.9975,18.2648,18.4838,18.5139,19.4114,18.3104,17.0658,17.1463,18.4346,18.8560
-29.0403,153,19.0195,19.6213,19.4950,19.1049,20.1415,19.5924,18.6714,18.4844,19.2747,19.7158
-27.0375,-69,-2.1183,-1.7554,-1.8980,-1.4633,-0.1172,-0.2190,-1.4039,-1.9717,1.5736,0.0058
-27.0375,-69,-2.1183,-1.7554,-1.8980,-1.4633,-0.1172,-0.2190,-1.4039,-1.9717,1.5736,0.0058
-27.0375,-67,8.8242,8.4234,8.7002,8.6659,8.8438,8.7631,7.9820,7.3570,9.8716,9.9573
-27.0375,-65,20.4785,19.7302,20.7767,20.0877,20.1769,20.7518,20.2431,20.0819,21.3666,20.4546
-27.0375,-63,23.2773,21.7860,22.6789,21.9138,22.0323,22.7408,22.6629,22.3939,23.4505,22.8772
-27.0375,-61,22.6770,21.0026,22.1338,21.7595,21.6399,22.2708,21.9482,21.8831,23.1700,22.7452
-27.0375,-59,22.1997,20.9445,22.2139,21.8859,21.9747,22.4733,21.6837,21.5748,23.0320,22.4141
-27.0375,-59,22.1997,20.9445,22.2139,21.8859,21.9747,22.4733,21.6837,21.5748,23.0320,22.4141
-27.0375,-57,22.3271,21.2830,22.4332,21.7987,22.2087,22.1148,21.6572,21.6220,22.8097,22.4890
-27.0375,-57,22.3271,21.2830,22.4332,21.7987,22.2087,22.1148,21.6572,21.6220,22.8097,22.4890
-27.0375,-55,21.1836,20.2203,21.2689,20.7833,21.3468,21.0845,20.6510,20.2609,21.3076,21.4763
